raw_SMILES,reaxys_id,SMILES,cas_number
BrC1=NC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1,8836429,Brc1nc(-c2ccccc2)c2ccccc2n1,0
CCOC(=O)C1=C(C)N=C(Br)S1,142600,CCOC(=O)c1sc(Br)nc1C,22900-83-0
BrC1=C2C=CSC2=CC=C1,114890,Brc1cccc2sccc12,5118-13-8
CC1=C(Br)C(C)=NN1,108534,Cc1n[nH]c(C)c1Br,3398-16-1
BrC1=CC=C2C=CC=NC2=C1,112906,Brc1ccc2cccnc2c1,4965-36-0
BrC1=NC(=CC=C1)C1=CC=CC=C1,122200,Brc1cccc(-c2ccccc2)n1,39774-26-0
COC1=C(Br)N=CC=C1,1364593,COc1cccnc1Br,24100-18-3
CC(C)NC(=O)C1=CC(Cl)=CC(C)=C1NC(=O)C1=CC(Br)=NN1C1=C(Cl)C=CC=N1,11247881,Cc1cc(Cl)cc(C(=O)NC(C)C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,0
NNC1=NC=C(Br)C=C1,386969,NNc1ccc(Br)cn1,77992-44-0
CN1C=CC(Br)=N1,4797748,Cn1ccc(Br)n1,151049-87-5
FC(F)(F)C1=CN=CC(Br)=C1,9043706,FC(F)(F)c1cncc(Br)c1,436799-33-6
BrC1=CC=C2N(C3=CC=CC=C3C2=C1)C1=NC(=NC(=N1)C1=CC=CC=C1)C1=CC=CC=C1,22257190,Brc1ccc2c(c1)c1ccccc1n2-c1nc(-c2ccccc2)nc(-c2ccccc2)n1,1266389-17-6
CN1N=CC2=CC(Br)=CC=C12,127881,Cn1ncc2cc(Br)ccc21,465529-57-1
BrC1=CC=CC(=N1)C#N,10423561,N#Cc1cccc(Br)n1,122918-25-6
BrC1=CC=CC2=C1C1=C(C=CC=C1)N2C1=CC=CC=C1,23265262,Brc1cccc2c1c1ccccc1n2-c1ccccc1,1097884-37-1
NC1=C(Br)C=NC=C1,110183,Nc1ccncc1Br,13534-98-0
NC1=NC=C(Br)C=C1I,11253604,Nc1ncc(Br)cc1I,381233-96-1
OC(=O)C1=C(Cl)N=CC(Br)=C1,389587,O=C(O)c1cc(Br)cnc1Cl,29241-65-4
OC(=O)C1=CN=C(Br)S1,124207,O=C(O)c1cnc(Br)s1,54045-76-0
OC(=O)C1=NC=CC(Br)=C1,471891,O=C(O)c1cc(Br)ccn1,30766-03-1
CCOC(=O)C1=NC(Br)=CC=C1,473367,CCOC(=O)c1cccc(Br)n1,21190-88-5
CC(=O)C1=CN=CC(Br)=C1,112808,CC(=O)c1cncc(Br)c1,38940-62-4
CC(C)[Si](C(C)C)(C(C)C)N1C=CC2=CC(Br)=CN=C12,11432222,CC(C)[Si](C(C)C)(C(C)C)n1ccc2cc(Br)cnc21,858116-66-2
NC1=NC=C(Br)C=C1C(F)(F)F,11440644,Nc1ncc(Br)cc1C(F)(F)F,79456-34-1
CN1N=CC(Br)=C1C=O,14529871,Cn1ncc(Br)c1C=O,473528-88-0
ClC1=C(Br)C=NC=C1,110190,Clc1ccncc1Br,36953-42-1
FC1=CC(Br)=CN=C1C#N,14425988,N#Cc1ncc(Br)cc1F,886373-28-0
BrC1=COC2=CC=CC=C12,114935,Brc1coc2ccccc12,59214-70-9
FC(F)(F)C1=NC=C(Br)C=N1,11419939,FC(F)(F)c1ncc(Br)cn1,799557-86-1
NC1=CC=C(Br)N=N1,111380,Nc1ccc(Br)nn1,88497-27-2
CC1=C(SC(Br)=N1)C(O)=O,135882,Cc1nc(Br)sc1C(=O)O,40003-41-6
BrC1=NC2=C(C=C1)C=CC1=C2N=CC=C1,781669,Brc1ccc2ccc3cccnc3c2n1,22426-14-8
COC(=O)C1=CN=C(Cl)C(Br)=C1,4403950,COC(=O)c1cnc(Cl)c(Br)c1,78686-77-8
CC1=NN=C(Br)S1,112985,Cc1nnc(Br)s1,54044-79-0
BrC1=CC=NC(=C1)C#N,386377,N#Cc1cc(Br)ccn1,62150-45-2
BrC1=NC2=C(N1)C=CC=C2,956851,Brc1nc2ccccc2[nH]1,54624-57-6
CN(C)CC1=CC(Br)=CN=C1,10334707,CN(C)Cc1cncc(Br)c1,908864-98-2
ClC1=NC(Br)=NS1,1072163,Clc1nc(Br)ns1,37159-60-7
BrC1=CC=CN=C1C=O,9757082,O=Cc1ncccc1Br,405174-97-2
BrC1=CN=C2C=CNC2=C1,20645274,Brc1cnc2cc[nH]c2c1,944937-53-5
OC(=O)C1=CC(Br)=CS1,119333,O=C(O)c1cc(Br)cs1,16694-18-1
OC(=O)C1=C(Br)C=CS1,121585,O=C(O)c1sccc1Br,7311-64-0
C[Si](C)(C)CCOCN1C=CC2=C1N=CC=C2Br,21759248,C[Si](C)(C)CCOCn1ccc2c(Br)ccnc21,941685-08-1
NC1=CC(Br)=CN=C1Cl,119439,Nc1cc(Br)cnc1Cl,588729-99-1
BrC1=CN=C(C#N)C(=C1)N(=O)=O,155525,N#Cc1ncc(Br)cc1[N+](=O)[O-],573675-25-9
